"","SITE","OBS_YEAR","DATE_","ANALYSIS_YEAR","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE","LONGITUDE","DEPTH_BIN","New","Percent"
"181","SWA-00087",2012,"3/22/2012","2012",8,16,-11.06596475,-171.07407862,"Mid","Total Coral",45.9074733096085
"182","SWA-00087",2012,"3/22/2012","2012",8,16,-11.06596475,-171.07407862,"Mid","CCA",11.0320284697509
"183","SWA-00087",2012,"3/22/2012","2012",8,16,-11.06596475,-171.07407862,"Mid","UPMA",24.1992882562278
"184","SWA-00087",2012,"3/22/2012","2012",8,16,-11.06596475,-171.07407862,"Mid","TURF",3.20284697508897
"185","SWA-00087",2012,"3/22/2012","2012",8,16,-11.06596475,-171.07407862,"Mid","EMA",15.6583629893238
"186","SWA-00087",2012,"3/22/2012","2012",8,16,-11.06596475,-171.07407862,"Mid","Other",0
"187","SWA-00089",2012,"3/21/2012","2012",2.01168,2.1336,-11.0540358,-171.09196317,"Shallow","Total Coral",21.2837837837838
"188","SWA-00089",2012,"3/21/2012","2012",2.01168,2.1336,-11.0540358,-171.09196317,"Shallow","CCA",55.7432432432432
"189","SWA-00089",2012,"3/21/2012","2012",2.01168,2.1336,-11.0540358,-171.09196317,"Shallow","UPMA",0
"190","SWA-00089",2012,"3/21/2012","2012",2.01168,2.1336,-11.0540358,-171.09196317,"Shallow","TURF",20.6081081081081
"191","SWA-00089",2012,"3/21/2012","2012",2.01168,2.1336,-11.0540358,-171.09196317,"Shallow","EMA",2.36486486486486
"192","SWA-00089",2012,"3/21/2012","2012",2.01168,2.1336,-11.0540358,-171.09196317,"Shallow","Other",0
"193","SWA-00090",2012,"3/23/2012","2012",3.5,6,-11.047168,-171.06910916,"Shallow","Total Coral",9.34256055363322
"194","SWA-00090",2012,"3/23/2012","2012",3.5,6,-11.047168,-171.06910916,"Shallow","CCA",35.9861591695502
"195","SWA-00090",2012,"3/23/2012","2012",3.5,6,-11.047168,-171.06910916,"Shallow","UPMA",21.7993079584776
"196","SWA-00090",2012,"3/23/2012","2012",3.5,6,-11.047168,-171.06910916,"Shallow","TURF",7.26643598615917
"197","SWA-00090",2012,"3/23/2012","2012",3.5,6,-11.047168,-171.06910916,"Shallow","EMA",25.2595155709343
"198","SWA-00090",2012,"3/23/2012","2012",3.5,6,-11.047168,-171.06910916,"Shallow","Other",0.346020761245675
"199","SWA-00101",2012,"3/22/2012","2012",3,9,-11.06029222,-171.09007691,"Shallow","Total Coral",72.8813559322033
"200","SWA-00101",2012,"3/22/2012","2012",3,9,-11.06029222,-171.09007691,"Shallow","CCA",11.864406779661
"201","SWA-00101",2012,"3/22/2012","2012",3,9,-11.06029222,-171.09007691,"Shallow","UPMA",1.69491525423729
"202","SWA-00101",2012,"3/22/2012","2012",3,9,-11.06029222,-171.09007691,"Shallow","TURF",8.13559322033898
"203","SWA-00101",2012,"3/22/2012","2012",3,9,-11.06029222,-171.09007691,"Shallow","EMA",5.08474576271187
"204","SWA-00101",2012,"3/22/2012","2012",3,9,-11.06029222,-171.09007691,"Shallow","Other",0.338983050847458
"205","SWA-00105",2012,"3/22/2012","2012",20,28,-11.06686564,-171.07519367,"Deep","Total Coral",22.5563909774436
"206","SWA-00105",2012,"3/22/2012","2012",20,28,-11.06686564,-171.07519367,"Deep","CCA",9.02255639097744
"207","SWA-00105",2012,"3/22/2012","2012",20,28,-11.06686564,-171.07519367,"Deep","UPMA",31.203007518797
"208","SWA-00105",2012,"3/22/2012","2012",20,28,-11.06686564,-171.07519367,"Deep","TURF",27.8195488721804
"209","SWA-00105",2012,"3/22/2012","2012",20,28,-11.06686564,-171.07519367,"Deep","EMA",8.27067669172932
"210","SWA-00105",2012,"3/22/2012","2012",20,28,-11.06686564,-171.07519367,"Deep","Other",1.12781954887218
"211","SWA-00106",2012,"3/23/2012","2012",8.2,20,-11.06477654,-171.07241356,"Mid","Total Coral",32.5174825174825
"212","SWA-00106",2012,"3/23/2012","2012",8.2,20,-11.06477654,-171.07241356,"Mid","CCA",10.4895104895105
"213","SWA-00106",2012,"3/23/2012","2012",8.2,20,-11.06477654,-171.07241356,"Mid","UPMA",32.5174825174825
"214","SWA-00106",2012,"3/23/2012","2012",8.2,20,-11.06477654,-171.07241356,"Mid","TURF",4.54545454545455
